Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
10X,,155.4,0.7,101.3,17.6,0.0,MUYAHO,13.5,20.3,14.2,14.8,6.5
1NSANE,1.1,265.2,1.3,156.8,26.8,15.5,Crash Landin on You,98.0,91.5,94.6,77.5,97.3
1TaPGoD,0.6,156.3,0.5,96.7,24.7,0.0,True Rippers,14.1,4.9,10.0,62.1,13.8
1mp2k,1.1,192.3,1.0,128.3,24.3,12.3,Clarity,50.1,55.9,58.0,60.3,58.0
2ge,1.1,229.9,1.3,140.6,25.2,15.3,6045Pirates,86.2,92.9,78.0,66.9,90.7
2zzy,0.6,144.5,0.7,88.8,31.2,16.0,FENNEL,7.2,15.5,5.4,93.4,22.4
7ssk7,1.0,245.7,1.1,151.3,28.8,9.0,Natus Vincere,93.4,71.3,90.4,86.1,94.4
ACHRF,1.1,234.0,1.1,161.3,25.0,14.3,Team WaVii,88.7,75.1,97.3,64.8,91.7
AEZ,0.8,155.4,0.8,103.3,25.1,6.7,SUS SquaD,13.4,35.0,16.1,66.0,25.3
AKUMAAAAA,,205.8,1.0,126.8,28.5,30.7,DfuseTeam,64.8,53.9,54.1,84.6,70.6
ANDROID,1.0,211.5,1.0,133.2,24.7,20.7,NRG Esports,71.8,59.4,67.1,62.4,71.2
ANGE1,1.0,206.7,0.9,132.3,29.7,12.0,FunPlus Phoenix,66.0,40.7,65.4,88.8,71.3
ANNOYING TRIPS,1.0,209.9,1.0,142.7,27.1,3.6,Top Gear,69.6,62.0,81.7,79.8,83.5
AYRIN,0.9,180.1,1.0,119.4,18.1,21.4,XSET,35.9,56.1,40.6,17.9,31.8
Admiral00f,0.8,165.9,0.7,105.2,31.2,27.8,Aquiver,21.6,14.9,18.8,93.7,30.9
Aduu,0.8,186.4,0.8,119.4,27.0,9.2,Regal E-Sports,42.7,24.1,40.5,78.9,44.6
Akashi,0.9,167.7,0.7,109.7,16.7,15.5,CERBERUS Esports,22.7,19.1,24.9,10.9,9.4
Akiko,1.0,228.3,1.2,141.2,19.8,11.5,Team Legion,85.2,87.5,79.0,27.0,77.3
AlDBoOR,1.4,246.3,1.5,162.7,32.0,30.7,RTG eSports,93.6,99.0,97.6,94.9,99.6
Alejo,0.9,171.2,0.9,107.8,21.2,21.4,INFINITY,26.1,40.3,22.3,36.8,23.1
AlleN,1.0,242.2,1.0,153.6,15.8,8.2,Team - Perfectionists,92.3,62.9,92.5,7.1,69.2
Aloda,0.5,145.8,0.5,89.2,12.5,7.8,Exality,8.1,3.1,5.8,2.4,1.3
AlviN,0.8,186.7,0.9,108.0,19.0,0.0,Tenacity,43.2,39.8,22.5,22.6,24.1
Amaterasu,1.0,194.4,1.1,123.8,31.6,17.4,Velocity Gaming,52.0,74.0,49.0,94.2,74.1
Ambi,0.9,182.8,1.0,118.7,22.5,11.5,Giants Gaming,38.3,56.4,39.0,45.9,42.3
Amenhola,0.8,176.2,0.7,111.2,16.0,0.0,Five Ace Esports,32.0,20.6,26.9,7.9,12.6
Ammaz,0.8,144.9,0.7,92.5,20.3,9.9,Aquiver,7.4,19.4,6.8,30.6,6.7
Anaiz,0.8,202.3,0.8,138.7,24.7,0.0,Outset Esports,61.7,24.9,75.2,62.1,57.9
Angry 鬼,1.1,185.0,1.4,104.1,11.3,68.6,nA Whiff Masters,41.4,97.9,17.2,1.3,34.2
Anthem,,174.0,0.7,131.9,19.0,13.9,FIRST Gaming,29.8,15.6,64.4,22.6,26.1
AntiBiotique,0.8,167.3,0.8,110.9,20.5,24.3,Fox Gaming,22.5,23.3,26.2,32.2,16.8
Antidote,0.9,171.7,0.9,111.5,29.3,26.2,GodLike Esports,27.0,51.6,27.2,87.8,47.8
AppA,0.7,178.0,0.7,121.0,26.0,0.0,Ben10,33.6,12.1,43.7,72.4,35.1
Ar4n,,154.0,0.9,90.5,19.2,0.0,9z Team,12.5,38.2,6.0,24.2,10.4
Art,1.1,241.2,1.3,144.2,16.5,10.2,Feeling,92.0,90.5,84.2,9.9,76.6
Art1st,0.9,183.1,1.1,121.7,28.3,14.4,forZe,38.7,75.9,45.2,84.1,65.1
AsLanM4shadoW,0.8,231.3,1.0,146.1,26.7,1.5,BBL Esports,87.4,66.8,86.2,76.6,88.7
Ascension,0.7,214.0,0.8,127.0,17.0,10.0,Lariox Esports,74.2,21.3,54.9,12.4,35.6
Ash,0.8,182.3,0.7,117.0,21.7,3.0,Elementals,37.7,17.5,36.7,39.7,25.7
Asitte,1.3,295.6,1.6,177.2,18.3,8.0,Lexious Gaming,99.7,99.4,99.3,18.8,88.8
Asphiliax,0.9,226.0,0.9,151.7,18.0,25.0,Team EthereaL,84.0,44.5,90.9,16.8,62.8
Astell,1.0,171.8,0.9,115.2,22.5,10.9,NORTHEPTION,27.2,48.2,33.7,46.2,33.3
Asteriskk,0.9,180.1,1.0,112.9,19.3,14.2,BOOM Esports,36.1,64.1,29.1,24.4,32.9
Asuna,1.1,253.4,1.1,161.2,23.1,11.8,100 Thieves,95.8,78.6,97.1,51.1,90.3
Aurora,0.8,185.0,0.8,124.8,25.0,5.0,Onyx Ravens,41.4,22.4,51.1,64.8,42.3
Autumn,1.3,248.2,1.4,162.6,24.2,27.0,ORDER,94.5,97.5,97.5,59.3,95.6
AvRaK,0.8,139.5,0.7,98.2,26.5,19.2,Team WaVii,5.8,16.1,11.2,75.5,18.1
Avez,1.1,238.2,1.2,151.4,28.3,5.2,Anubis Gaming,90.3,88.3,90.5,84.0,96.1
Avian is HERO,0.6,153.4,0.5,108.2,21.2,0.0,Elementals,12.1,5.0,22.7,36.6,9.0
AvovA,1.0,171.2,1.1,110.8,25.9,21.8,G2 Esports,26.3,75.7,26.1,71.1,50.3
Awake,0.8,147.7,0.7,103.3,19.3,0.0,YODHA Esports B,9.1,14.1,16.3,24.5,6.6
AyuzZ,1.2,251.1,1.5,136.9,34.0,25.7,PN Crew,95.1,98.0,72.4,97.3,97.6
Azakana,1.1,197.0,1.0,137.2,23.0,21.0,New Genesis Esports,55.1,63.1,73.1,50.1,64.3
Azoz,0.9,201.2,0.9,137.4,26.4,16.6,Onyx Ravens,60.2,42.1,73.6,74.8,67.6
