Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
AAAAY,1.2,219.1,1.2,147.8,36.7,,FunPlus Phoenix,88.4,93.0,95.1,95.8,98.9
Abo,0.9,187.6,1.0,124.7,27.8,,Trace Esports,43.7,58.1,46.1,47.9,49.6
Absol,0.9,213.3,1.0,134.9,19.8,21.0,ZETA DIVISION,82.7,47.5,71.8,2.5,51.8
Akame,1.0,200.4,1.0,133.2,27.3,23.6,DetonatioN FocusMe,63.7,50.0,68.0,41.2,56.3
Akeman,0.8,180.3,0.8,121.8,31.9,,Dragon Ranger Gaming,31.0,15.1,39.1,81.7,36.4
Alfajer,1.1,229.6,1.2,152.6,35.4,33.4,FNATIC,96.1,92.3,97.5,92.3,99.3
Ash,0.9,163.8,0.8,108.4,26.4,28.2,Gen.G,11.3,16.5,9.5,32.7,7.4
Asuna,1.0,194.1,1.0,124.5,21.8,34.3,100 Thieves,56.0,65.5,45.8,8.1,40.1
Au1,0.9,183.3,0.9,125.5,20.4,,All Gamers,37.7,27.8,50.0,4.2,22.2
Autumn,1.0,206.7,1.1,132.9,31.3,26.6,Global Esports,75.0,79.9,67.3,78.9,85.6
Avez,0.9,181.3,0.9,118.1,29.4,24.5,Karmine Corp,33.8,23.2,29.6,63.4,30.6
BABYBAY,1.0,204.2,1.1,132.1,21.1,24.5,G2 Esports,69.7,85.9,65.1,5.6,59.2
Bai,0.8,183.3,0.8,119.6,16.1,,All Gamers,38.0,13.4,33.1,0.7,12.1
Bati,0.7,139.0,0.6,87.4,21.2,,LOUD,0.4,0.7,0.7,6.3,0.4
BeYN,1.0,174.2,0.9,113.4,27.9,32.9,KIWOOM DRX,23.6,35.2,20.1,48.9,25.4
Ben1Ley,0.9,190.2,0.9,130.5,26.0,,FunPlus Phoenix,49.3,32.4,60.9,29.9,38.7
BerLIN,0.9,161.9,0.8,118.6,29.7,,FunPlus Phoenix,9.5,9.5,31.7,65.1,20.8
BerserX,0.9,172.8,0.9,119.3,21.9,18.6,Team Secret,21.5,23.9,32.7,8.5,13.0
Biank,0.9,162.1,0.8,109.4,21.8,,Bilibili Gaming,9.9,10.9,12.3,7.7,2.8
Boaster,0.9,150.8,0.9,99.1,29.1,20.5,FNATIC,3.9,31.7,3.2,60.2,15.8
Boo,1.0,165.9,1.0,106.6,32.6,20.6,Team Heretics,13.4,48.2,8.8,84.5,32.0
BuZz,1.0,231.1,1.2,145.0,20.7,37.5,T1,97.2,86.3,91.9,4.6,79.2
C0M,0.8,156.3,0.8,105.7,22.2,11.7,Evil Geniuses,6.7,7.7,7.4,9.5,1.4
C1ndeR,0.7,143.9,0.7,90.1,28.5,25.4,VARREL,1.4,2.5,1.1,53.9,6.0
CHICHOO,1.1,196.9,1.2,132.5,28.7,26.3,EDward Gaming,59.9,89.8,66.5,55.3,75.4
Caedye,0.9,208.1,1.0,134.0,30.3,50.6,DetonatioN FocusMe,77.1,47.9,69.7,70.4,72.5
Chronicle,1.1,206.6,1.2,139.8,25.0,27.8,Team Vitality,74.6,95.1,84.2,21.8,77.1
Cloud,0.9,178.6,0.9,123.5,25.8,21.9,GIANTX,28.2,24.3,42.3,28.9,23.9
Coco,1.0,196.5,1.0,131.3,32.0,,Titan Esports Club,59.5,57.0,63.4,82.0,70.8
ComeBack,0.9,203.2,1.0,132.0,30.7,25.7,Team Heretics,68.3,42.3,64.8,73.9,66.9
Crewen,0.9,190.2,0.9,126.6,35.9,12.4,BBL Esports,48.6,33.1,51.8,94.0,60.2
Crws,0.9,161.7,0.8,110.4,23.4,32.0,FULL SENSE,9.2,10.6,14.8,13.7,4.6
Cryocells,1.1,210.8,1.3,137.7,27.1,30.2,100 Thieves,79.9,96.5,80.3,39.1,84.2
CyvOph,0.9,190.4,1.0,131.0,30.6,26.2,FNATIC,49.6,38.7,62.9,72.5,57.4
Dambi,1.0,225.8,1.1,140.4,21.9,28.8,Nongshim RedForce,93.7,73.9,85.9,8.8,71.1
Dantedeu5,0.8,187.4,0.9,117.6,23.2,,KRÜ Esports,43.0,19.7,27.3,12.7,17.3
Darker,0.9,192.8,0.9,125.3,24.0,25.9,LOUD,53.5,22.5,48.6,15.1,29.2
Demon1,1.0,205.0,1.1,135.1,44.3,44.7,ENVY,72.5,71.1,72.2,100.0,89.4
Derke,1.1,236.9,1.3,154.8,25.0,39.4,Team Vitality,98.6,96.8,98.2,21.5,88.4
Desmo,0.8,166.0,0.9,101.2,42.0,33.0,FNATIC,13.7,21.1,4.6,98.9,28.5
Dynamite,1.1,211.9,1.1,142.3,25.2,,Titan Esports Club,81.3,74.6,88.4,23.2,73.9
Eggsterr,0.7,167.8,0.7,105.8,28.9,16.3,ENVY,15.8,6.3,7.7,57.4,13.6
Erv,1.1,212.1,1.1,138.4,30.6,,TYLOO,82.0,78.9,82.7,73.2,90.3
Ethan,0.9,176.6,0.9,118.0,23.2,37.4,Mega Minors,26.8,33.5,29.2,11.6,16.9
Ezeir,1.0,179.8,0.8,123.7,27.5,,Nova Esports,28.9,11.6,42.6,44.0,25.0
Favian,1.0,205.2,1.0,136.6,30.8,37.6,Eternal Fire,73.2,50.4,78.2,75.0,78.5
FengF,0.9,195.6,1.0,130.4,31.1,,Trace Esports,57.7,62.0,60.6,77.1,68.7
Filu,0.9,194.2,1.0,130.6,30.1,25.5,Natus Vincere,56.3,44.4,61.3,69.0,60.9
Flex1n,0.9,173.9,0.9,112.0,26.1,,Dragon Ranger Gaming,22.5,21.5,17.3,30.3,14.4
